,AZ,CA,CO,DE,HI,ID,IL,IN,IA,KS,KY,MA,MI,MN,MS,MO,MT,NE,NJ,NY,NC,ND,OH,OK,SD,TN,TX,UT,VT,VA,WA,WI,AL,AK,GA,LA,ME,NM,PA,NV,OR,SC,WY,AR,FL,MD,NH,WV,CT,RI
,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance,TotalAmountofAssistance
2003,3295000,191830,488500,135000,10073,730761,1586596,103790,2476609,785184,27753149,1035028,2649120,3761459,229928,1787999,1015132,9537454,51100,1684785,117000,10410,746000,1299026,746000,225000,225000,74500,12001,211650,1052125,16584913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,2079885,671988,425000,500000,1108548,250000,2060813,80000,530256,164568,0,0,336000,5130968,1470927,1073500,497747,405672,239667,236750,0,14659,1080000,1054824,0,0,16491,0,7417318,0,906543,12860160,23688,5973909,200060,296000,4462,825108,828113,0,0,0,0,0,0,0,0,0,0,0
2005,0,849422,0,0,100000,417614,695373,200000,5415685,274372,0,5979,861939,3692493,273319,1159723,654410,331056,0,1080000,2500,5104936,592415,1057096,0,210000,153298,0,0,0,598719,1521903,0,2500000,118150,0,63220,0,328842,250000,182307,327821,35500,0,0,0,0,0,0,0
2006,16000,339838,248681,80000,547881,305850,1007402,800000,15120942,507977,0,312521,3332753,1110245,783890,1570000,884340,2608054,229369,25806701,6056,613368,82131,1187549,315140,54432,1974472,130856,1279160,0,440402,649682,1440534,6194311,15090,56421,75006,2561625,5946824,42389,3629343,82735,273023,31537,517971,80000,478901,1731,0,0
2007,10557,659998,476500,346000,16672,654500,1000999,2030938,14564003,372947,112499,1186876,2128242,1474444,964116,5071419,23000,886872,72310,1221614,796576,77505,292984,150000,546528,1550000,1725000,850000,917643,595637,399545,2169280,0,38150000,18132216,4952616,732960,25275,1404887,0,1746942,0,72262,98500,0,213110,0,0,29397,0
2008,75839,2469385,936831,80000,1922497,1525832,1898243,473165,14767620,602044,1023137,928706,295904,4810022,792245,1622151,379619,2051473,904787,1753809,912319,126940,2298123,1666960,1393931,381827,378276,0,5190769,565500,3132340,5685506,942969,1250000,738127,3481717,200000,3000000,269762,306855,1363977,68902,53733,208899,78658,36468,1020173,0,1350000,0
2009,1529959,17065986,5181049,105816,443608,1510455,8491554,4205629,37838074,5647708,2352050,7895740,1623212,17028262,763936,2453630,1088871,8457055,3167878,7022301,5515332,383635,25210093,6778241,1896252,1682593,1999483,12229,2344755,22305810,6732314,8814998,119752,3642135,82594226,1188213,12071839,55105967,2030958,108307,4276986,1221920,21789,1265142,53016188,135026,2493345,225000,636960,0
2010,106306886,23018684,1507268,963525,116011905,2316468,8390296,7107849,39782988,4342230,4665383,3768538,13022743,11968714,8863176,10777620,9464486,6573025,2016136,16505889,8452521,155327296,7909647,3995045,3446993,6778217,11832502,139357,10678823,4476446,6504810,7530295,28361109,333654,24470159,21049512,35299113,1073838,8010841,898796,6780676,14539154,50296,11161445,8827827,1120668,6391431,5019105,208323,189
2011,4456560,35047470,2215177,975975,7472870,7460788,10457259,17476329,19754771,23729226,7353736,4995782,40529446,11064459,2897409,13319680,8190189,6058412,7213427,5083701,28257568,204644304,10073000,5634073,1939781,2233435,21912073,8074006,1297462,91571859,27943092,7488143,4308464,1203885,12992778,2305148,876632,795295,24525110,158779,8321551,17456067,564568,4149820,97713464,1051425,776182,2337841,1063405,84693
2012,7457132,26634635,1820771,1058982,81729973,1584616,13367814,2989267,16341998,20520075,9332414,563032,3473638,6045256,1559523,10820631,719246,3523483,8090017,3625270,20422484,133169,19138975,3902776,1677290,1795425,157634656,50056798,1393164,2368223,18158533,11055733,1256535,1794897,17319768,1189954,3209845,3051537,14599175,61474,1869871,10584483,182296,9101573,3033222,15396505,590099,653551,913629,60321
2013,467795,25150615,675106,1189663,166131,1428364,4309949,5510006,8664270,5277210,5123426,808255,1786059,4760861,3456652,12501363,507626,6166308,379491,4016974,15385128,225006,13860351,6404323,698193,4540996,81613306,1376359,463034,886153,1466329,2546591,1486918,4255167,2862074,325255,377793,356539,11039258,2546578,3814770,217428,50102,5957222,2237644,1291123,1250485,303202,1082480,149933
