MSN,StateCode,Year,Amount,State,CO2 Emissions (Mmt),TotalNumberofInvestments,TotalAmountofAssistance
BDFDB,AK,2015,21,Alaska,35.0278036,16,3345612
BDPRP,AK,2015,4,Alaska,35.0278036,16,3345612
BFFDB,AK,2015,21,Alaska,35.0278036,16,3345612
BFPRP,AK,2015,4,Alaska,35.0278036,16,3345612
CLPRB,AK,2015,17747,Alaska,35.0278036,16,3345612
CLPRK,AK,2015,15.073,Alaska,35.0278036,16,3345612
CLPRP,AK,2015,1177,Alaska,35.0278036,16,3345612
COPRK,AK,2015,5.717,Alaska,35.0278036,16,3345612
EMFDB,AK,2015,0,Alaska,35.0278036,16,3345612
ENPRP,AK,2015,0,Alaska,35.0278036,16,3345612
GETCB,AK,2015,186,Alaska,35.0278036,16,3345612
HYTCB,AK,2015,14621,Alaska,35.0278036,16,3345612
NCPRB,AK,2015,16298,Alaska,35.0278036,16,3345612
NGMPB,AK,2015,380887,Alaska,35.0278036,16,3345612
NGMPK,AK,2015,1.108,Alaska,35.0278036,16,3345612
NGMPP,AK,2015,343625,Alaska,35.0278036,16,3345612
NUETB,AK,2015,0,Alaska,35.0278036,16,3345612
PAPRB,AK,2015,1007501,Alaska,35.0278036,16,3345612
PAPRP,AK,2015,176229,Alaska,35.0278036,16,3345612
REPRB,AK,2015,23807,Alaska,35.0278036,16,3345612
SOTCB,AK,2015,3,Alaska,35.0278036,16,3345612
TEPRB,AK,2015,1429942,Alaska,35.0278036,16,3345612
TETCB,AK,2015,614242,Alaska,35.0278036,16,3345612
WDEXB,AK,2015,0,Alaska,35.0278036,16,3345612
WDPRB,AK,2015,6865,Alaska,35.0278036,16,3345612
WDTCB,AK,2015,6865,Alaska,35.0278036,16,3345612
WSTCB,AK,2015,622,Alaska,35.0278036,16,3345612
WWPRB,AK,2015,7488,Alaska,35.0278036,16,3345612
WYTCB,AK,2015,1488,Alaska,35.0278036,16,3345612
BDFDB,AL,2015,1933,Alabama,119.2008893,164,1864412
BDPRP,AL,2015,356,Alabama,119.2008893,164,1864412
BFFDB,AL,2015,1933,Alabama,119.2008893,164,1864412
BFPRP,AL,2015,356,Alabama,119.2008893,164,1864412
CLPRB,AL,2015,331420,Alabama,119.2008893,164,1864412
CLPRK,AL,2015,25.122,Alabama,119.2008893,164,1864412
CLPRP,AL,2015,13193,Alabama,119.2008893,164,1864412
COPRK,AL,2015,5.717,Alabama,119.2008893,164,1864412
EMFDB,AL,2015,0,Alabama,119.2008893,164,1864412
ENPRP,AL,2015,0,Alabama,119.2008893,164,1864412
GETCB,AL,2015,141,Alabama,119.2008893,164,1864412
HYTCB,AL,2015,91902,Alabama,119.2008893,164,1864412
NCPRB,AL,2015,92144,Alabama,119.2008893,164,1864412
NGMPB,AL,2015,182481,Alabama,119.2008893,164,1864412
NGMPK,AL,2015,1.085,Alabama,119.2008893,164,1864412
NGMPP,AL,2015,168246,Alabama,119.2008893,164,1864412
NUETB,AL,2015,438728,Alabama,119.2008893,164,1864412
PAPRB,AL,2015,55421,Alabama,119.2008893,164,1864412
PAPRP,AL,2015,9694,Alabama,119.2008893,164,1864412
REPRB,AL,2015,258955,Alabama,119.2008893,164,1864412
SOTCB,AL,2015,101,Alabama,119.2008893,164,1864412
TEPRB,AL,2015,1267004,Alabama,119.2008893,164,1864412
TETCB,AL,2015,1917138,Alabama,119.2008893,164,1864412
WDEXB,AL,2015,0,Alabama,119.2008893,164,1864412
WDPRB,AL,2015,163313,Alabama,119.2008893,164,1864412
WDTCB,AL,2015,163313,Alabama,119.2008893,164,1864412
WSTCB,AL,2015,1565,Alabama,119.2008893,164,1864412
WWPRB,AL,2015,164877,Alabama,119.2008893,164,1864412
WYTCB,AL,2015,0,Alabama,119.2008893,164,1864412
BDFDB,AR,2015,4429,Arkansas,59.05336455,477,13453887
BDPRP,AR,2015,815,Arkansas,59.05336455,477,13453887
BFFDB,AR,2015,4429,Arkansas,59.05336455,477,13453887
BFPRP,AR,2015,815,Arkansas,59.05336455,477,13453887
CLPRB,AR,2015,1819,Arkansas,59.05336455,477,13453887
CLPRK,AR,2015,19.893,Arkansas,59.05336455,477,13453887
CLPRP,AR,2015,91,Arkansas,59.05336455,477,13453887
COPRK,AR,2015,5.717,Arkansas,59.05336455,477,13453887
EMFDB,AR,2015,0,Arkansas,59.05336455,477,13453887
