StateCode,TotalNumberofInvestments,TotalAmountofAssistance,Year
AZ,2,3295000,2003
CA,2,191830,2003
CO,2,488500,2003
DE,2,135000,2003
HI,1,10073,2003
ID,5,730761,2003
IL,6,1586596,2003
IN,2,103790,2003
IA,12,2476609,2003
KS,4,785184,2003
KY,4,27753149,2003
MA,5,1035028,2003
MI,3,2649120,2003
MN,17,3761459,2003
MS,5,229928,2003
MO,7,1787999,2003
MT,5,1015132,2003
NE,10,9537454,2003
NJ,1,51100,2003
NY,15,1684785,2003
NC,1,117000,2003
ND,1,10410,2003
OH,2,746000,2003
OK,2,1299026,2003
SD,2,746000,2003
TN,2,225000,2003
TX,3,225000,2003
UT,1,74500,2003
VT,1,12001,2003
VA,1,211650,2003
WA,6,1052125,2003
WI,10,16584913,2003
AL,1,23688,2004
AK,4,5973909,2004
AZ,2,2079885,2004
CA,4,671988,2004
CO,2,425000,2004
DE,1,500000,2004
GA,1,200060,2004
HI,1,1108548,2004
ID,3,250000,2004
IL,5,2060813,2004
IN,1,80000,2004
IA,7,530256,2004
KS,3,164568,2004
LA,1,296000,2004
ME,1,4462,2004
MI,2,336000,2004
MN,5,5130968,2004
MS,39,1470927,2004
MO,3,1073500,2004
MT,1,497747,2004
NE,14,405672,2004
NJ,3,239667,2004
NM,1,825108,2004
NY,4,236750,2004
ND,1,14659,2004
OH,3,1080000,2004
OK,10,1054824,2004
PA,4,828113,2004
TX,2,16491,2004
VT,2,7417318,2004
WA,2,906543,2004
WI,17,12860160,2004
AK,1,2500000,2005
CA,6,849422,2005
GA,1,118150,2005
HI,2,100000,2005
ID,4,417614,2005
IL,3,695373,2005
IN,2,200000,2005
IA,38,5415685,2005
KS,5,274372,2005
ME,1,63220,2005
MA,1,5979,2005
MI,5,861939,2005
MN,16,3692493,2005
MS,4,273319,2005
MO,4,1159723,2005
MT,3,654410,2005
NE,35,331056,2005
NV,1,250000,2005
NY,3,1080000,2005
NC,1,2500,2005
ND,5,5104936,2005
OH,3,592415,2005
OK,5,1057096,2005
OR,2,182307,2005
PA,2,328842,2005
SC,2,327821,2005
TN,2,210000,2005
TX,2,153298,2005
WA,2,598719,2005
WI,5,1521903,2005
WY,1,35500,2005
AL,4,1440534,2006
AK,4,6194311,2006
AZ,1,16000,2006
AR,1,31537,2006
CA,3,339838,2006
CO,6,248681,2006
DE,1,80000,2006
FL,2,517971,2006
GA,1,15090,2006
HI,4,547881,2006
ID,5,305850,2006
IL,7,1007402,2006
IN,2,800000,2006
IA,76,15120942,2006
KS,10,507977,2006
LA,1,56421,2006
ME,3,75006,2006
MD,1,80000,2006
MA,5,312521,2006
MI,16,3332753,2006
MN,19,1110245,2006
MS,18,783890,2006
MO,3,1570000,2006
MT,5,884340,2006
NE,147,2608054,2006
NV,1,42389,2006
NH,3,478901,2006
NJ,4,229369,2006
NM,2,2561625,2006
NY,9,25806701,2006
NC,1,6056,2006
ND,4,613368,2006
OH,4,82131,2006
OK,6,1187549,2006
OR,14,3629343,2006
PA,6,5946824,2006
SC,4,82735,2006
SD,2,315140,2006
TN,4,54432,2006
TX,3,1974472,2006
UT,3,130856,2006
VT,9,1279160,2006
WA,4,440402,2006
WV,1,1731,2006
WI,8,649682,2006
WY,11,273023,2006
AK,3,38150000,2007
AZ,2,10557,2007
AR,1,98500,2007
CA,3,659998,2007
CO,5,476500,2007
CT,1,29397,2007
DE,1,346000,2007
GA,7,18132216,2007
HI,1,16672,2007
ID,5,654500,2007
IL,26,1000999,2007
IN,8,2030938,2007
IA,181,14564003,2007
KS,15,372947,2007
KY,3,112499,2007
LA,2,4952616,2007
ME,3,732960,2007
MD,1,213110,2007
MA,11,1186876,2007
MI,9,2128242,2007
MN,30,1474444,2007
MS,28,964116,2007
MO,7,5071419,2007
MT,1,23000,2007
NE,98,886872,2007
NJ,3,72310,2007
NM,1,25275,2007
NY,10,1221614,2007
NC,27,796576,2007
ND,5,77505,2007
OH,7,292984,2007
OK,1,150000,2007
OR,12,1746942,2007
PA,7,1404887,2007
SD,12,546528,2007
TN,2,1550000,2007
TX,4,1725000,2007
UT,3,850000,2007
VT,19,917643,2007
VA,6,595637,2007
WA,3,399545,2007
WI,10,2169280,2007
WY,3,72262,2007
AL,5,942969,2008
AK,1,1250000,2008
AZ,2,75839,2008
AR,5,208899,2008
CA,4,2469385,2008
CO,14,936831,2008
CT,2,1350000,2008
DE,1,80000,2008
FL,1,78658,2008
GA,41,738127,2008
HI,7,1922497,2008
ID,8,1525832,2008
IL,26,1898243,2008
IN,13,473165,2008
IA,256,14767620,2008
KS,17,602044,2008
KY,4,1023137,2008
LA,4,3481717,2008
ME,4,200000,2008
MD,2,36468,2008
MA,15,928706,2008
MI,11,295904,2008
MN,66,4810022,2008
MS,18,792245,2008
MO,15,1622151,2008
MT,4,379619,2008
NE,170,2051473,2008
NV,5,306855,2008
NH,6,1020173,2008
NJ,7,904787,2008
NM,1,3000000,2008
NY,18,1753809,2008
NC,34,912319,2008
ND,4,126940,2008
OH,17,2298123,2008
OK,5,1666960,2008
OR,24,1363977,2008
PA,6,269762,2008
SC,5,68902,2008
SD,22,1393931,2008
TN,10,381827,2008
TX,3,378276,2008
VT,30,5190769,2008
VA,3,565500,2008
WA,8,3132340,2008
WI,31,5685506,2008
WY,2,53733,2008
AL,4,119752,2009
AK,7,3642135,2009
AZ,7,1529959,2009
AR,9,1265142,2009
CA,97,17065986,2009
CO,18,5181049,2009
CT,3,636960,2009
DE,3,105816,2009
FL,22,53016188,2009
GA,51,82594226,2009
HI,6,443608,2009
ID,28,1510455,2009
IL,131,8491554,2009
IN,58,4205629,2009
IA,534,37838074,2009
KS,53,5647708,2009
KY,19,2352050,2009
LA,10,1188213,2009
ME,16,12071839,2009
MD,4,135026,2009
MA,22,7895740,2009
MI,32,1623212,2009
MN,218,17028262,2009
MS,18,763936,2009
MO,32,2453630,2009
MT,7,1088871,2009
NE,232,8457055,2009
NV,3,108307,2009
NH,40,2493345,2009
NJ,8,3167878,2009
NM,5,55105967,2009
NY,53,7022301,2009
NC,73,5515332,2009
ND,7,383635,2009
